Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Retinolekvivalenter();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Mungbönsgroddar;329;144;35;3,0;0,4;3,2;3,0;0,0;0,4;90,0;0,0;0,4;0,4;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;12;0,00;0,20;;0,08;0,12;13;0,7;1,2;0,09;0,00;54;61;;0;0,90;13;149;21;6;1,0;0,40;
Sojabönsgroddar;330;610;146;13,1;6,7;7,0;2,6;0,0;1,6;69,0;0,0;0,2;0,2;0,0;0;0,8;0,0;0,0;0,0;0,0;0,8;0,0;0,8;0,7;0,1;3,8;;3,2;0,0;;0,6;;0,0;0,0;0,0;0,0;0,0;1;0;6;0,00;0,20;;0,34;0,12;15;1,1;3,3;0,18;0,00;164;172;;0;2,10;67;484;72;14;1,0;1,20;
Gröna bönor;331;125;30;1,8;0,1;3,5;3,9;0,0;0,7;90,0;0,0;1,2;0,5;0,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;15;0;180;0,00;0,30;;0,09;0,11;16;0,7;1,0;0,10;0,00;39;36;1;6;1,00;48;235;22;6;0,5;0,40;
Gröna bönor frysta;332;135;32;1,7;0,2;4,2;3,4;0,0;0,5;90,0;0,0;1,0;0,5;0,5;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;23;0;270;0,00;0,05;;0,10;0,09;13;0,5;0,8;0,04;0,00;33;15;1;0;0,70;44;220;22;3;0,5;0,40;
Champinjoner;333;111;26;2,5;0,2;2,9;1,3;0,0;0,9;92,2;0,0;0,3;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;10;0,00;0,00;;0,09;0,40;5;3,4;3,8;0,18;0,00;112;31;0;4;0,33;3;389;12;5;3,0;0,50;
Friséesallat;334;62;15;1,2;0,2;1,0;2,2;0,1;1,4;94,0;0,0;0,2;0,7;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;103;0;1230;0,00;0,10;;0,08;0,08;7;0,4;0,6;0,02;0,00;28;142;6;14;0,80;52;315;15;22;1,0;0,80;
Endivesallat;335;57;14;1,0;0,1;1,1;2,2;0,0;0,6;95,0;0,0;0,2;0,7;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;4;0;48;0,00;0,10;;0,07;0,14;4;0,5;0,7;0,05;0,00;21;52;0;11;0,50;22;187;7;2;1,0;0,20;
Fänkål;336;119;29;2,8;0,4;1,8;3,3;0,0;1,7;90,0;0,0;2,3;0,3;0,3;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,0;0,2;;0,0;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;175;0;2100;0,00;0,20;;0,23;0,11;31;0,2;0,7;0,10;0,00;51;3;;7;2,70;64;396;14;7;1,0;0,50;
Grönkål;337;209;50;3,3;0,7;5,7;3,8;0,0;1,5;85,0;0,0;1,4;0,7;0,7;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,5;;0,1;0,0;;0,3;;0,0;0,0;0,0;0,0;0,0;446;0;5350;0,00;5,40;;0,11;0,13;120;1,0;1,6;0,27;0,00;56;30;1;38;1,70;157;530;30;12;2,3;0,40;
Grönkål fryst;338;124;30;2,7;0,5;2,3;2,6;0,0;0,9;91,0;0,0;0,7;0,4;0,4;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;175;0;2100;0,00;2,40;;0,06;0,11;28;0,7;1,2;0,09;0,00;29;17;;0;0,40;136;330;18;15;2,3;0,20;
Gurka;339;58;14;0,8;0,1;2,1;0,7;0,0;0,4;95,9;0,0;1,6;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9;0;110;0,00;0,13;;0,02;0,02;9;0,2;0,3;0,04;0,00;25;14;0;5;0,17;17;136;10;7;0,0;0,20;
Isbergssallat;340;61;15;0,8;0,1;2,0;1,0;0,0;0,3;95,7;0,0;3,1;0,2;0,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,1;0,0;0,0;0,0;0,0;0,0;0,0;15;0;180;0,00;0,15;;0,04;0,02;4;0,2;0,3;0,05;0,00;23;56;;5;0,43;16;125;8;2;0,5;0,20;
Kantareller;341;108;26;1,5;0,5;2,7;2,3;0,0;1,0;92,0;0,0;0,4;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;108;0;1300;2,50;0,06;;0,07;0,39;10;4,9;5,2;0,03;0,00;50;21;3;11;0,90;4;450;10;3;0,4;1,00;
Kronärtskocka;342;217;52;2,7;0,2;7,3;5,0;0,2;0,8;84,0;0,0;2,5;0,1;0,1;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;4;0;47;0,00;0,19;;0,08;0,06;11;0,8;1,3;0,11;0,00;77;74;;60;1,60;48;340;47;80;1,0;0,40;
Kålrabbi;343;122;29;1,7;0,1;4,4;1,8;0,1;1,0;91,0;0,0;2,0;0,9;0,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;24;0,00;0,20;;0,05;0,02;62;0,4;0,7;0,15;0,00;46;20;;54;0,40;24;350;19;20;0,5;0,30;
Lök gul röd;344;136;32;1,2;0,1;6,0;1,2;0,0;0,5;87,8;0,0;3,1;1,7;1,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;7;0,00;0,31;;0,04;0,03;6;0,2;0,4;0,16;0,00;35;20;1;7;0,27;21;171;10;2;0,0;0,20;
Majskolv;345;524;125;3,9;1,6;22,1;2,9;0,0;0,8;68,8;0,0;0,7;2,6;2,3;100;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,5;0,0;0,5;0,7;;0,7;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;18;0;;0,00;0,08;;0,15;0,08;7;1,7;2,1;0,18;0,00;105;98;1;64;0,51;3;294;39;0;0,5;0,50;
Majskolv fryst;346;466;111;3,3;0,8;21,5;1,8;0,0;0,6;72,0;0,0;0,8;0,9;0,8;100;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,4;;0,4;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;13;0;150;0,00;0,50;;0,10;0,09;7;1,7;2,0;0,18;0,00;87;40;;45;0,70;4;294;32;5;0,5;0,70;
Majskorn frysta;347;416;100;3,0;0,8;18,9;1,8;0,0;0,5;75,0;0,0;0,8;0,9;0,8;100;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,4;;0,4;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;0;0,00;0,50;;0,10;0,10;5;1,6;1,9;0,18;0,00;69;36;1;0;0,40;3;210;22;3;0,5;0,40;
Mangold;348;89;21;1,8;0,2;2,6;0,8;0,5;1,6;93,0;0,0;0,2;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;165;0;1980;0,00;1,50;;0,04;0,09;30;0,4;0,7;0,20;0,00;46;30;;8;1,80;51;380;81;215;0,5;0,60;
Nässlor;349;210;50;5,9;0,7;3,0;4,1;0,3;3,3;83,0;0,0;1,1;0,2;0,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,4;;0,1;0,0;;0,3;;0,0;0,0;0,0;0,0;0,0;200;0;2400;0,00;1,64;;0,20;0,15;175;0,8;1,8;0,28;0,00;126;194;0;10;10,00;490;640;86;116;0,5;1,70;
Paprika grön;350;88;21;0,8;0,1;3,3;2,0;0,0;0,4;93,4;0,0;2,7;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12;0;140;0,00;0,79;;0,03;0,02;115;0,5;0,7;0,21;0,00;23;14;0;15;0,34;6;173;9;1;0,2;0,20;
Paprika röd;351;130;31;1,1;0,2;5,2;1,9;0,0;0,6;91,1;0,0;4,5;0,1;0,1;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;55;0;660;0,00;3,20;;0,05;0,09;200;0,9;1,0;0,41;0,00;24;77;;15;0,39;6;218;11;1;0,2;0,30;
Persilja blad;352;147;35;2,2;0,3;4,4;2,9;0,1;2,2;88,0;0,0;0,8;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;467;0;5600;0,00;2,70;;0,12;0,30;182;1,7;2,1;0,20;0,00;71;183;6;0;3,60;340;710;25;34;0,5;1,50;
Pumpa;353;109;26;1,0;0,1;4,4;1,7;0,0;0,8;92,0;0,0;2,0;0,7;0,7;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;80;0;960;0,00;1,00;;0,05;0,11;9;0,6;0,8;0,04;0,00;44;22;;29;0,80;21;340;12;1;0,0;0,10;
Purjolök;354;138;33;1,5;0,2;5,2;2,4;0,0;0,6;90,2;0,0;2,9;0,5;0,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11;0;130;0,00;0,46;;0,08;0,06;40;0,3;0,6;0,22;0,00;30;91;1;16;0,47;24;223;11;4;0,5;0,30;
Rödkål;355;113;27;1,4;0,3;3,7;1,9;0,0;0,7;92,0;0,0;3,3;0,2;0,2;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;1;0;15;0,00;0,07;;0,05;0,03;57;0,3;0,5;0,21;0,00;29;21;1;20;0,40;37;290;14;7;1,0;0,30;
Huvudsallat;356;60;14;1,4;0,2;1,1;1,2;0,0;1,1;95,0;0,0;0,7;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;108;0;1300;0,00;0,30;;0,08;0,10;9;0,5;0,7;0,06;0,00;32;73;1;10;0,70;65;360;13;6;0,5;0,50;
Savojkål;357;119;28;2,0;0,1;3,6;2,5;0,1;0,8;91,0;0,0;3,1;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;50;0;600;0,00;0,60;;0,07;0,03;31;0,3;0,6;0,19;0,00;42;79;;20;0,40;35;230;28;28;3,8;0,50;
Salladskål;358;86;21;1,3;0,1;2,7;1,6;0,0;0,6;93,7;0,0;2,4;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,1;0,0;0,0;0,0;0,0;0,0;0,0;1;0;15;0,00;0,34;;0,05;0,05;39;0,8;1,0;0,15;0,00;38;150;0;7;0,34;26;204;15;9;0,2;0,30;
Sockerärter;359;215;51;3,4;0,2;6,0;6,0;0,0;1,1;83,3;0,0;2,2;1,9;1,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;34;0;408;0,00;0,12;;0,28;0,12;21;2,9;3,5;0,16;0,00;90;65;;6;0,70;62;170;24;2;1,0;0,80;
Spenat;360;73;18;1,9;0,5;0,7;1,3;0,0;1,6;94,0;0,0;0,2;0,1;0,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;275;0;3300;0,00;2,90;;0,10;0,28;46;0,9;1,2;0,20;0,00;30;194;1;5;2,00;93;560;79;6;0,5;0,90;
Spenat fryst;361;91;22;2,8;0,5;0,5;2,0;0,0;1,2;93,0;0,0;0,2;0,1;0,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;;0,0;267;0;3200;0,00;2,30;;0,08;0,15;24;0,4;0,9;0,14;0,00;44;120;2;0;1,00;170;325;58;6;0,5;0,60;
Squash;362;70;17;1,2;0,1;2,2;1,0;0,0;0,5;95,0;0,0;1,3;0,6;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;23;0,00;0,10;;0,07;0,03;9;0,4;0,6;0,09;0,00;32;22;2;5;0,40;15;250;22;3;0,0;0,30;
Tomat;364;94;23;0,9;0,1;3,7;1,4;0,0;0,5;93,9;0,0;3,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48;0;573;0,00;0,71;;0,03;0,02;20;0,7;0,9;0,10;0,00;25;21;0;0;0,24;7;229;10;3;0,5;0,20;
Soltorkade tomater i olja avrunna;365;797;190;5,0;12,5;8,7;12,7;3,1;6,1;55,0;0,0;8,7;0,0;0,0;0;1,3;0,0;0,0;0,0;0,8;0,3;0,1;4,9;0,0;4,7;5,8;;5,3;0,0;;0,4;0,0;0,0;0,0;0,0;0,1;2,0;54;3;615;0,00;9,10;23;0,05;0,06;12;2,2;3,0;0,20;0,07;103;29;0;0;3,40;69;882;62;1238;5,0;0,62;
Trädgårdskrasse;366;156;37;2,6;0,7;4,3;1,6;0,0;1,8;89,0;0,0;0,2;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,1;0,2;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;217;0;2600;0,00;0,70;;0,08;0,26;35;1,0;1,4;0,25;0,00;76;30;;29;1,30;81;600;25;14;0,0;0,20;
Vattenkrasse;367;108;26;2,9;0,1;1,8;3,0;0,1;1,2;91,0;0,0;0,3;0,3;0,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;233;0;2800;0,00;1,00;;0,09;0,12;43;0,2;0,7;0,13;0,00;60;30;;8;0,20;120;330;21;41;0,5;0,20;
Vaxbönor;368;136;33;1,8;0,1;4,7;2,7;0,0;0,7;90,0;0,0;1,0;0,4;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;5;0;55;0,00;0,45;;0,08;0,13;21;0,6;0,9;0,10;0,00;38;36;0;6;1,10;45;210;25;6;0,5;0,20;
Vaxbönor frysta;369;121;29;1,8;0,1;3,8;2,7;0,0;0,5;91,1;0,0;1,0;0,4;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;5;0;60;0,00;0,30;;0,08;0,09;12;0,5;0,8;0,08;0,00;32;36;;0;0,80;36;180;22;1;0,5;0,30;
Vitkål;370;108;26;1,4;0,1;3,8;2,0;0,0;0,6;90,7;0,0;3,3;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;6;0;66;0,00;0,02;;0,05;0,04;36;0,4;0,6;0,10;0,00;30;57;1;20;0,26;42;219;13;8;2,9;0,20;
Vitlök;371;668;160;6,4;0,5;31,1;1,5;0,0;1,5;59,0;0,0;3,0;0,9;0,9;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,01;;0,20;0,11;31;0,7;1,8;0,13;0,00;153;3;3;13;1,70;181;400;25;17;20,0;1,00;
Aubergine;372;105;25;1,1;0,1;3,7;2,5;0,0;0,6;92,0;0,0;2,8;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;4;0;42;0,00;0,03;;0,09;0,02;2;0,6;0,8;0,09;0,00;33;18;;19;0,60;18;305;16;2;7,0;0,20;
Gröna ärter;373;300;72;5,4;0,4;8,8;5,5;0,0;0,9;79,0;0,0;0,3;3,7;3,7;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;46;0;550;0,00;0,13;;0,41;0,13;40;2,1;3,0;0,17;0,00;130;65;0;60;2,00;31;370;40;1;0,2;1,30;
Gröna ärter frysta;374;276;66;5,2;0,4;7,1;6,5;0,2;0,8;80,0;0,0;0,2;3,8;3,8;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;33;0;390;0,00;0,12;;0,36;0,15;20;1,7;2,6;0,12;0,00;100;53;0;0;1,50;20;170;29;80;0,3;0,80;
Sparris grön el vit;375;113;27;3,1;0,2;2,4;1,5;0,0;0,8;92,0;0,0;1,0;0,2;0,2;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;27;0;320;0,00;1,98;;0,11;0,12;33;1,1;1,6;0,15;0,00;52;119;4;47;0,70;22;300;18;2;0,2;0,90;
Alfalfagroddar;376;133;32;4,0;0,7;0,9;3,0;0,0;0,4;91,0;0,0;0,4;0,4;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,4;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;8;0;96;0,00;0,20;;0,08;0,13;8;0,5;1,2;0,03;0,00;70;36;;0;1,00;32;79;27;6;1,0;0,90;
Dill;377;241;58;3,7;0,8;7,4;2,8;0,1;2,3;83,0;0,0;0,5;0,3;0,3;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,5;;0,2;0,0;;0,3;;0,0;0,0;0,0;0,0;0,0;375;0;4500;0,00;1,70;;0,19;0,43;70;2,4;3,0;0,30;0,00;85;36;;10;3,20;343;750;44;26;0,5;1,80;
Gräslök;378;116;28;2,8;0,6;1,7;2,1;0,0;0,8;92,0;0,0;1,7;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,4;;0,1;0,0;;0,3;;0,0;0,0;0,0;0,0;0,0;283;0;3400;0,00;1,60;;0,07;0,20;41;0,6;1,1;0,22;0,00;51;64;;0;1,30;77;215;17;3;0,5;0,40;
Basilika färsk;379;104;25;2,5;0,6;0,4;3,9;0,0;1,6;91,0;0,0;0,0;0,3;0,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,4;;0,1;0,0;;0,3;;0,0;0,0;0,0;0,0;0,0;263;0;3142;0,00;0,80;;0,03;0,07;18;0,9;1,4;0,13;0,00;69;64;;0;3,17;154;462;81;4;0,3;0,85;
Chilipeppar färsk;380;198;47;2,0;0,2;9,2;0,0;0,0;0,6;88,0;0,0;4,4;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;38;0;460;0,00;2,90;;0,09;0,09;240;1,0;1,3;0,28;0,00;46;23;;27;1,20;18;340;25;7;0,5;0,30;
Paprika gul;381;122;29;1,1;0,2;4,4;3,0;0,0;0,5;90,9;0,0;3,4;0,2;0,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12;0;140;0,00;2,20;;0,05;0,02;205;0,9;1,1;0,35;0,00;25;55;;15;0,29;7;218;16;1;0,5;0,10;
Paprika grön röd fryst;382;107;26;1,0;0,4;3,0;3,0;0,2;0,6;92,0;0,0;2,9;0,1;0,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;125;0;1500;0,00;1,70;;0,08;0,08;100;1,5;1,7;0,14;0,00;10;14;;0;0,50;30;91;8;65;0,5;0,10;
Champinjoner skivade frysta;383;78;19;2,0;0,4;0,8;2,0;0,0;0,8;94,0;0,0;0,2;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,0;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;1;0;10;0,00;0,10;;0,09;0,32;10;5,5;5,8;0,18;0,00;75;12;;0;0,30;12;270;12;15;2,0;0,50;
Linsgroddar;384;524;125;9,0;0,6;19,1;3,0;0,0;1,0;67,3;0,0;0,4;0,4;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;3;0;30;0,00;0,40;;0,23;0,13;17;1,1;2,6;0,19;0,00;173;61;;0;3,20;25;322;37;11;1,0;1,50;
Lök gul fryst;385;119;29;1,5;0,0;4,1;3,0;0,0;0,4;91,0;0,0;3,1;1,7;1,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;18;0,00;0,30;;0,03;0,04;10;0,2;0,5;0,09;0,00;25;21;;0;0,50;35;142;10;10;0,5;0,10;
Grönsaksblandning ärter majs morötter bönor fryst;386;283;68;3,3;0,5;11,1;2,5;0,1;0,6;82,0;0,0;0,3;1,6;1,6;31;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;200;0;2400;0,00;0,29;;0,12;0,08;10;1,2;1,8;0,10;0,00;59;29;;0;0,70;30;170;24;30;0,5;0,50;
Grönsaksblandning ärter morötter bönor blomkål fryst;387;160;38;2,4;0,5;4,5;3,0;0,1;0,6;89,0;0,0;0,3;1,6;1,6;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;275;0;3300;0,00;0,29;;0,09;0,12;15;0,8;1,2;0,09;0,00;48;30;;0;1,10;40;150;20;40;0,3;0,30;
Grönsaksblandning ärter morötter fryst;388;252;60;3,7;0,5;9,0;2,2;0,1;0,6;84,0;0,0;0,3;1,6;1,6;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;258;0;3100;0,00;0,29;;0,18;0,11;12;1,2;1,8;0,10;0,00;28;36;;0;1,10;49;145;18;50;0,2;0,50;
Grönsaksblandning ärter majs paprika fryst;389;278;66;4,2;0,5;8,7;5,0;0,1;0,6;81,0;0,0;0,3;1,6;1,6;31;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;29;0;345;0,00;0,29;;0,19;0,12;28;1,8;2,5;0,10;0,00;15;40;;0;0,90;52;220;20;20;0,4;0,40;
Grönsallat gurka tomat u dressing;390;74;18;1,0;0,1;2,6;1,1;0,0;0,5;94,9;0,0;2,2;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33;0;393;0,00;0,37;;0,04;0,03;12;0,5;0,6;0,07;0,00;27;42;0;4;0,30;20;198;11;5;0,3;0,24;
Råkost u dressing;391;132;32;1,0;0,1;5,5;2,0;0,0;0,6;90,8;0,0;3,4;1,5;1,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;205;0;2128;0,00;0,27;;0,04;0,03;20;0,5;0,7;0,11;0,00;26;37;1;15;0,25;28;215;13;13;1,4;0,24;
Paprika grön gul röd;392;107;26;0,9;0,1;4,0;2,2;0,0;0,5;92,2;0,0;3,3;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23;0;270;0,00;1,75;;0,04;0,04;159;0,7;0,9;0,29;0,00;23;40;0;15;0,34;6;196;11;1;0,3;0,20;
